id,pattern,language,severity,title,description,remediation,auto_fixable,destructive_fixable
S003a,"(sk-[a-zA-Z0-9]{20,})",*,CRITICAL,OpenAI API key exposed,OpenAI secret key hardcoded in source,Move to environment variable,false,true
S003b,"(AKIA[0-9A-Z]{16})",*,CRITICAL,AWS access key exposed,AWS access key ID hardcoded in source,Move to environment variable + rotate key,false,true
S003c,"(ghp_[a-zA-Z0-9]{36})",*,CRITICAL,GitHub token exposed,GitHub personal access token hardcoded,Move to environment variable + revoke token,false,true
S003d,"(xoxb-[0-9]+-[0-9]+-[a-zA-Z0-9]+)",*,CRITICAL,Slack bot token exposed,Slack bot token hardcoded in source,Move to environment variable + revoke token,false,true
S003e,"(AIza[0-9A-Za-z\\-_]{35})",*,CRITICAL,Google API key exposed,Google API key hardcoded in source,Move to environment variable,false,true
S003f,"(password|passwd|pwd)\s*[=:]\s*[\"'][^\"']{8,}[\"']",*,CRITICAL,Hardcoded password,Password value hardcoded in source,Move to environment variable,false,true
S003g,"(secret|api_key|apikey|auth_token|access_token)\s*[=:]\s*[\"'][^\"']{8,}[\"']",*,HIGH,Hardcoded secret/token,Secret or token hardcoded in source,Move to environment variable,false,true
S004a,"NEXT_PUBLIC_.*(?:SECRET|KEY|TOKEN|PASS|PRIVATE)",*,CRITICAL,NEXT_PUBLIC_ exposes secret,Secret exposed to browser via NEXT_PUBLIC_ prefix,Rename variable; remove NEXT_PUBLIC_ prefix,false,true
S005,"NEXT_PUBLIC_SUPABASE_SERVICE_ROLE",*,CRITICAL,Supabase service role key exposed to client,Service role key is admin-level and must never reach the browser,Rename to server-only env var immediately,false,true
S006a,"//.*(?:password|secret|token|key)\s*[=:]\s*\S{8,}",*,HIGH,Secret in comment,Credential or key value left in code comment,Remove comment; use env var reference,false,true
